recording,subject,trial,timestamp,true_target,pred_ridge,pred_random_forest,pred_xgboost,pred_baseline_global_mean,pred_baseline_subject_mean,pred_baseline_ceiling,moving_avg,slope_short,slope_medium,decline_persistence
08M_1,8,1,6140.0,96.311683259876,75.6012841093016,85.70914013585636,85.5314712524414,68.1300448600817,68.15116839562234,100.0,82.85059642791748,1.973444366455114,-0.15618197123198685,0
08M_1,8,1,6148.0,95.78561564907235,73.7112496326736,77.47538611189182,84.14258575439453,68.1300448600817,68.15116839562234,100.0,82.17236232757568,0.6335151672363278,0.671254748389846,1
08M_1,8,1,6156.0,95.18451458788036,56.53238781462954,55.88797961957293,55.25345993041992,68.1300448600817,68.15116839562234,100.0,78.21884870529175,-9.00849800109806,-1.0674292700631784,2
08M_1,8,1,6164.0,94.49767799435928,59.81347230256122,57.671240921783735,61.32048034667969,68.1300448600817,68.15116839562234,100.0,76.68248414993286,-10.152209854125728,-2.969282195681271,0
08M_1,8,1,6172.0,93.71287733993329,74.61201744217402,90.57089886514588,82.24324035644531,68.1300448600817,68.15116839562234,100.0,76.92274236679077,0.03689842224045045,-2.1160261517477417,0
08M_1,8,1,6180.0,92.81613993106868,43.21047551586816,52.718676729105646,49.50484085083008,68.1300448600817,68.15116839562234,100.0,73.13541507720947,0.3676902770986725,-4.092203049432714,1
08M_1,8,1,6188.0,91.79150013761011,54.21573361987607,66.65896974225464,51.50634002685547,68.1300448600817,68.15116839562234,100.0,69.2901554107666,-6.218082046509606,-4.9160900115966735,0
08M_1,8,1,6196.0,90.62071513861235,81.9509466097007,75.78459717066129,82.6521987915039,68.1300448600817,68.15116839562234,100.0,69.01932716369629,0.3228374481208161,-2.138800393967398,0
08M_1,8,1,6204.0,89.28294012476933,79.92329782935828,67.95932080324815,70.6590576171875,68.1300448600817,68.15116839562234,100.0,67.16027545928955,9.46085090637153,-0.2329978942869825,1
08M_1,8,1,6212.0,87.75435717470181,57.70660959049997,54.23819803900031,53.18684768676758,68.1300448600817,68.15116839562234,100.0,63.29080820083618,-0.695161819458231,0.4220830372401158,2
08M_1,8,1,6220.0,86.00775119756906,50.297063601464025,55.85624108904303,50.65760040283203,68.1300448600817,68.15116839562234,100.0,62.716325759887695,-11.345600509642468,-1.491828736804883,3
08M_1,8,1,6228.0,84.01202539203061,79.24073469623255,71.25573482353967,71.07919311523438,68.1300448600817,68.15116839562234,100.0,63.93616485595703,-0.12688407897964873,-0.9444779895600693,0
08M_1,8,1,6236.0,81.73164759472652,81.08433497300905,83.77649949582734,85.62226104736328,68.1300448600817,68.15116839562234,100.0,64.35854244232178,11.772783279418977,2.824169068109337,0
08M_1,8,1,6244.0,79.12601766099203,83.68425390834314,62.72608079725726,68.7470703125,68.1300448600817,68.15116839562234,100.0,66.76382112503052,6.8811477661136795,1.5984116962977404,1
08M_1,8,1,6252.0,76.14874461456975,74.94492199617159,83.28967251110952,78.60645294189453,68.1300448600817,68.15116839562234,100.0,70.1513352394104,0.5706588745115603,0.9505675633743024,0
08M_1,8,1,6260.0,72.74682069659875,31.075371421486125,45.99977399907339,31.60911750793457,68.1300448600817,68.15116839562234,100.0,63.77095007896423,-15.218004798890531,-0.9219056765237676,1
